project_code,project_name,actual,predicted,snapshots,absolute_error
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,0.0,19.990689472608125,10,19.990689472608125
608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,0.0,1.1426456008158077,4,1.1426456008158077
611737,Western Region Expansion Scheme-XXV,0.0,3.1637557550447677,4,3.1637557550447677
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,0.0,-0.0027482811868651726,9,0.0027482811868651726
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,0.0,0.8345261508038075,9,0.8345261508038075
612134,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana  Transmission Ltd],0.0,0.0,8,0.0
612134,Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1] [Bikaner Complex] Part A [Bikaner Neemrana Transmission Ltd],0.0,0.0,1,0.0
612856,Augmentation of 1x1500 MVA 3rd  765/400 kV transformation capacity at Kurnool New Substation,0.0,-0.00018572702279884802,8,0.00018572702279884802
617271,Eastern Region  Expansion Scheme-43 [ERES-43],0.0,0.0,9,0.0
617391,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],0.0,0.0,9,0.0
N18000264,HVDC BIPOLE LINK BETWEEN WR AND SR - NORTH TRICHUR - SCHEME -II AC SYSTEM STRENGTHENING AT PUGALUR EN,36.45871626134546,11.884400096986024,1,24.574316164359434
N18000264,HVDC BIPOLE LINK BETWEEN WR AND SR -NORTH TRICHUR - SCHEME -II AC SYSTEM STRENGTHENING AT PUGALUR EN,36.45871626134546,11.88436869219251,3,24.57434756915295
N18000316,NORTH EASTERN REGION STRENGTHENING SCHEME-XII,0.0,0.09326397225556889,2,0.09326397225556889
N18000328,TS FOR EVACUATION OF POWER FROM PAKALDUL HEP IN CHENAB VALLEY HEPS - LTA SYSTEM,0.0,0.0,9,0.0
N18000337,1131 TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,0.0,0.0,1,0.0
N18000337,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART B,0.0,6.372983844366111,9,6.372983844366111
N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART- A  PART B,0.0,0.0,3,0.0
N18000352,TRANSMISSION SYSTEM FOR KURNOOL WIND ENERGY ZONE SOLAR ENERGY ZONE (AP) PART-A  PART B,0.0,0.0,6,0.0
N18000358,TRANSMISSION NETWORK EXPANSION IN GUJARAT ASSOCIATED WITH INTEGRATION OF RE PROJECTS FROM KHAVDA POT,0.0,-0.0003077484993683931,10,0.0003077484993683931
N18000375,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART C1,0.0,0.0,9,0.0
N18000378,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART J,0.0,0.0,8,0.0
N18000380,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),0.0,0.0,10,0.0
N18000383,TS FOR EVACUATION OF POWER FROM POTENTIAL RE ZONE IN KHAVDA AREA OF GUJARAT UNDER PH-IV PART E3,0.0,0.0,8,0.0
N18000387,TS FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-1) [BIKANER COMPLEX] PART D [NEEMRANA II B,0.0,0.0,8,0.0
N18000393,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART- C,0.0,0.0,1,0.0
N18000393,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART-C,0.0,0.0,6,0.0
N18000398,AUGMENTATION OF TRANSFORMATION CAPACITY AT JAM KHAMBHALIYA PS [GIS] [SPV NAME POWERGRID JAM KHAMBHAL,0.0,0.0,5,0.0
N18000405,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF G,0.0,0.9238065782834954,5,0.9238065782834954
